"subnum","group","flank","RT","N","Error"
1,"Young","Congruent",380.130196779795,96,0.104166666666667
1,"Young","Incongruent",456.184057346375,96,0.0416666666666667
1,"Young","Neutral",378.941798223797,96,0.104166666666667
2,"Young","Congruent",391.020142372391,96,0.145833333333333
2,"Young","Incongruent",447.59627439295,96,0.0833333333333333
2,"Young","Neutral",377.465199946005,96,0.114583333333333
3,"Young","Congruent",371.300450303597,96,0.0625
3,"Young","Incongruent",451.014554667677,96,0.125
3,"Young","Neutral",380.752497549796,96,0.09375
4,"Young","Congruent",389.74400450723,96,0.125
4,"Young","Incongruent",448.870976451806,96,0.09375
4,"Young","Neutral",371.389199576789,96,0.09375
5,"Young","Congruent",380.158268579041,96,0.177083333333333
5,"Young","Incongruent",458.909621742747,96,0.104166666666667
5,"Young","Neutral",378.786956541684,96,0.104166666666667
6,"Young","Congruent",377.765674490476,96,0.0833333333333333
6,"Young","Incongruent",445.289614035113,96,0.114583333333333
6,"Young","Neutral",381.326622561333,96,0.104166666666667
7,"Young","Congruent",370.707572082064,96,0.135416666666667
7,"Young","Incongruent",449.680871496213,96,0.104166666666667
7,"Young","Neutral",384.652916535307,96,0.0625
8,"Young","Congruent",378.376913338127,96,0.0416666666666667
8,"Young","Incongruent",451.085021754944,96,0.0833333333333333
8,"Young","Neutral",376.678614296647,96,0.114583333333333
9,"Young","Congruent",378.249068474115,96,0.104166666666667
9,"Young","Incongruent",455.889817113077,96,0.0833333333333333
9,"Young","Neutral",381.440410217986,96,0.09375
10,"Young","Congruent",381.773137266513,96,0.09375
10,"Young","Incongruent",455.32833719323,96,0.0833333333333333
10,"Young","Neutral",389.188962933191,96,0.0729166666666667
11,"Old","Congruent",383.016676578451,96,0.0416666666666667
11,"Old","Incongruent",470.36310772715,96,0.09375
11,"Old","Neutral",389.249075054598,96,0.09375
12,"Old","Congruent",384.43039356773,96,0.09375
12,"Old","Incongruent",478.689535617307,96,0.0520833333333333
12,"Old","Neutral",380.656146661047,96,0.145833333333333
13,"Old","Congruent",372.447393931282,96,0.104166666666667
13,"Old","Incongruent",468.838650287789,96,0.09375
13,"Old","Neutral",376.974404649307,96,0.135416666666667
14,"Old","Congruent",387.067371719975,96,0.25
14,"Old","Incongruent",458.368817179786,96,0.114583333333333
14,"Old","Neutral",377.017487425768,96,0.166666666666667
15,"Old","Congruent",387.539639430617,96,0.0833333333333333
15,"Old","Incongruent",467.423482299207,96,0.0416666666666667
15,"Old","Neutral",376.530791491013,96,0.135416666666667
16,"Old","Congruent",377.434633941108,96,0.0520833333333333
16,"Old","Incongruent",463.138862026311,96,0.09375
16,"Old","Neutral",379.355889685618,96,0.104166666666667
17,"Old","Congruent",379.810635607693,96,0.114583333333333
17,"Old","Incongruent",474.367475496725,96,0.0625
17,"Old","Neutral",381.223201493812,96,0.114583333333333
18,"Old","Congruent",374.353333964369,96,0.135416666666667
18,"Old","Incongruent",457.937470235951,96,0.104166666666667
18,"Old","Neutral",385.81723423334,96,0.0625
19,"Old","Congruent",384.320530183718,96,0.09375
19,"Old","Incongruent",460.990756799425,96,0.0729166666666667
19,"Old","Neutral",385.215799703296,96,0.0833333333333333
20,"Old","Congruent",388.313197714173,96,0.09375
20,"Old","Incongruent",462.054385745301,96,0.09375
20,"Old","Neutral",377.841498803946,96,0.0520833333333333
